OBJECTID,gridcode,DNR12DIG,Shape_Leng,Shape_Area,Acres,Land_Use,pollution,total_N,total_P,total_S
117,11,21402050818,188507.353384,654576.260024,161.749316432,11,24461.349124011358,1746.8926174656,69.55220606576,22644.90430048
118,11,21402050821,19801.9124198,78118.6495854,19.3035387055,11,2919.2741584327646,208.4782180194,8.300521643365,2702.49541877
119,11,21402050822,802085.504421,2951500.25495,729.331596399,11,110296.81732342076,7876.7812411092,313.61258645157,102106.42349586
120,11,21402050823,352464.61268,2275498.13584,562.287834885,11,85034.78926965855,6072.708616758001,241.78376900055002,78720.29688390001
121,11,21402050824,175261.768214,746920.667052,184.568116358,11,27912.23623682034,1993.3356566664002,79.36429003394,25839.53629012
122,11,21402050825,183990.865563,748931.166317,185.064921545,11,27987.36808525035,1998.7011526860001,79.57791626435,25909.0890163
123,11,21402050826,76615.9004779,366099.869063,90.4652477998,11,13681.059424763753,977.02467623784,38.900056553914,12665.134691972
124,12,21402050808,76717.6692422,503937.699088,124.525717369,12,18832.02423771387,1344.8777475852,53.546058468670005,17433.60043166
125,12,21402050811,1451.15591579,2905.25888145,0.71790510416,12,108.5687889021168,7.7533751249280005,0.3086991947888,100.5067145824
126,12,21402050814,9272.19975384,38096.2445213,9.41378703491,12,1423.6470132894392,101.668899977028,4.0479284250113,1317.9301848874
127,12,21402050815,14366.8479142,59174.7210358,14.6223920148,12,2211.344344398204,157.92183375984,6.287628566364,2047.1348820720002
128,12,21402050816,39073.6789891,291273.610643,71.9752766694,12,10884.821090713362,777.33298802952,30.949368967842002,10076.538733716001
129,12,21402050818,105021.036171,587993.259728,145.296298745,12,21973.15925920635,1569.200026446,62.47740846035,20341.4818243
130,12,21402050821,23419.3229991,102012.423019,25.2078187045,12,3812.178422681535,272.2444420086,10.839362042934999,3529.09461863
131,12,21402050822,140417.065893,983370.334306,242.996101582,12,36748.300442245854,2624.3578970856,104.48832368026,34019.45422148
132,12,21402050823,38071.783605,1068868.39258,264.123131887,12,39943.34123527101,2852.5298243796,113.57294671141,36977.23846418
133,12,21402050824,15384.3241866,107031.245719,26.4479968023,12,3999.7305564118287,285.63836546484004,11.372638624989,3702.7195523220003
134,12,21402050825,74799.7215319,1338489.79147,330.748030512,12,50019.02465432976,3572.0787295296004,142.22165312016,46304.72427168
135,12,21402050826,55307.3976208,1124802.22,277.944681649,12,42033.57420577827,3001.8025618092006,119.51621310907001,38912.25543086
136,13,21402050808,23.0934629893,19.9373986596,0.00492663850124,13,0.7450555405425251,0.053207695813392,0.0021184545555332,0.6897293901735999
137,13,21402050822,94439.3079459,358124.432923,88.4944746101,13,13383.019395285422,955.7403257890801,38.052624082343,12389.226445414
138,13,21402050823,358131.952688,5501101.92269,1359.3518891,13,205574.786188593,14681.000402280002,584.5213123130001,190309.26447400003
139,13,21402050824,36574.7819397,1445594.3833,357.214151533,13,54021.49613633559,3857.9128365564,153.60208515919,50009.98121462
140,14,21402050808,65754.4245279,184120.769367,45.4972329504,14,40810.56298417929,696.10766414112,76.89032368617599,40037.564996352
141,14,21402050811,6268.24230609,21030.9581124,5.19686292698,14,4661.53407687179,79.512002782794,8.782698346596199,4573.2393757424
142,14,21402050814,47446.228676,160652.149196,39.6980106105,14,35608.718537512395,607.3795623406501,67.089637931745,34934.24933724
143,14,21402050815,71594.6341995,331360.707304,81.8810139816,14,73446.45073135539,1252.7795139184802,138.378913628904,72055.292303808
144,14,21402050816,119890.273241,263636.804763,65.1460732099,14,58435.376208548194,996.7349201114699,110.096863724731,57328.544424711996
145,14,21402050818,6074.25893572,9159.22030719,2.26329262795,14,2030.1508543448704,34.628377207635,3.8249645412354996,1991.6975125959998
146,14,21402050822,74668.2213389,246122.000894,60.8180709185,14,54553.20143318531,930.51648505305,102.78253985226499,53519.902408279995
147,14,21402050823,1425.06327905,3001.600066,0.741711529322,14,665.3078246865408,11.3481863986266,1.25349248455418,652.70614580336
148,14,21402050824,228833.476823,803850.622009,198.635814594,14,178174.33933267207,3039.1279632882,335.69452666386,174799.51684272
149,14,21402050825,10332.3626049,94629.9013224,23.3835578645,14,20974.817568877854,357.76843532685,39.518212791005,20577.53092076
150,15,21402050808,305646.860038,498395.254872,123.156149577,15,18624.90450052971,1330.0864154316,52.95714431811,17241.86094078
151,15,21402050811,536455.927743,1163921.77626,287.611334521,15,43495.46211961083,3106.2024128268004,123.67287384403,40265.586832940004
152,15,21402050814,249982.422696,512668.394153,126.683119103,15,19158.288101946688,1368.1776863124,54.473741214289994,17735.63667442
153,15,21402050815,828568.513497,2109235.40657,521.203419744,15,78821.59316788512,5628.996933235201,224.11747048992,72968.47876416
